,Date,PARK
508,2015/10/10,83
509,2015/10/11,86
510,2015/10/12,86
511,2015/10/13,89
512,2015/10/14,87
513,2015/10/15,87
514,2015/10/16,89
515,2015/10/17,90
516,2015/10/18,88
517,2015/10/19,86
518,2015/10/20,84
519,2015/10/21,88
520,2015/10/22,87
521,2015/10/23,83
522,2015/10/24,84
523,2015/10/25,85
524,2015/10/26,84
525,2015/10/27,77
526,2015/10/28,81
527,2015/10/29,79
528,2015/10/30,82
529,2015/10/31,79
530,2015/11/1,80
531,2015/11/2,79
532,2015/11/3,77
533,2015/11/4,74
534,2015/11/5,62
535,2015/11/6,55
536,2015/11/7,48
537,2015/11/8,43
538,2015/11/9,34
539,2015/11/10,30
540,2015/11/11,28
541,2015/11/12,25
542,2015/11/13,21
543,2015/11/14,16
544,2015/11/15,14
545,2015/11/16,50
546,2015/11/17,49
547,2015/11/18,49
548,2015/11/19,53
549,2015/11/20,57
550,2015/11/21,57
551,2015/11/22,56
552,2015/11/23,52
553,2015/11/24,60
554,2015/11/25,72
555,2015/11/26,73
556,2015/11/27,76
557,2015/11/28,79
558,2015/11/29,92
559,2015/11/30,94
560,2015/12/1,93
561,2015/12/2,96
562,2015/12/3,96
563,2015/12/4,95
564,2015/12/5,92
565,2015/12/6,93
566,2015/12/7,94
567,2015/12/8,95
568,2015/12/9,95
569,2015/12/10,94
570,2015/12/11,89
571,2015/12/12,88
572,2015/12/13,91
573,2015/12/14,89
574,2015/12/15,92
575,2015/12/16,95
576,2015/12/17,94
577,2015/12/18,93
578,2015/12/19,97
579,2015/12/20,91
580,2015/12/21,95
581,2015/12/22,91
582,2015/12/23,91
583,2015/12/24,93
584,2015/12/25,94
585,2015/12/26,93
586,2015/12/27,94
587,2015/12/28,92
588,2015/12/29,90
589,2015/12/30,84
590,2015/12/31,82
591,2016/1/1,82
592,2016/1/2,81
593,2016/1/3,85
594,2016/1/4,82
595,2016/1/5,80
596,2016/1/6,82
597,2016/1/7,86
598,2016/1/8,84
599,2016/1/9,84
600,2016/1/10,82
601,2016/1/11,75
602,2016/1/12,74
603,2016/1/13,70
604,2016/1/14,61
605,2016/1/15,53
606,2016/1/16,45
607,2016/1/17,31
608,2016/1/18,28
609,2016/1/19,25
610,2016/1/20,22
611,2016/1/21,21
612,2016/1/22,20
613,2016/1/23,55
614,2016/1/24,56
615,2016/1/25,60
616,2016/1/26,66
617,2016/1/27,72
618,2016/1/28,72
619,2016/1/29,71
620,2016/1/30,75
621,2016/1/31,77
622,2016/2/1,77
623,2016/2/2,82
624,2016/2/3,89
625,2016/2/4,94
626,2016/2/5,96
627,2016/2/6,96
628,2016/2/7,100
629,2016/2/8,100
630,2016/2/9,94
631,2016/2/10,98
632,2016/2/11,103
633,2016/2/12,102
634,2016/2/13,99
635,2016/2/14,101
636,2016/2/15,97
637,2016/2/16,99
638,2016/2/17,95
639,2016/2/18,101
640,2016/2/19,100
641,2016/2/20,98
642,2016/2/21,99
643,2016/2/22,100
644,2016/2/23,100
645,2016/2/24,101
646,2016/2/25,100
647,2016/2/26,99
648,2016/2/27,101
649,2016/2/28,101
650,2016/2/29,102
651,2016/3/1,103
652,2016/3/2,99
653,2016/3/3,95
654,2016/3/4,97
655,2016/3/5,97
656,2016/3/6,100
657,2016/3/7,96
658,2016/3/8,90
659,2016/3/9,84
660,2016/3/10,91
661,2016/3/11,90
662,2016/3/12,91
663,2016/3/13,97
664,2016/3/14,99
665,2016/3/15,95
666,2016/3/16,96
667,2016/3/17,94
668,2016/3/18,97
669,2016/3/19,97
670,2016/3/20,92
671,2016/3/21,87
672,2016/3/22,78
673,2016/3/23,69
674,2016/3/24,63
675,2016/3/25,57
676,2016/3/26,53
677,2016/3/27,45
678,2016/3/28,40
679,2016/3/29,34
680,2016/3/30,33
681,2016/3/31,47
682,2016/4/1,47
683,2016/4/2,47
684,2016/4/3,47
685,2016/4/4,54
686,2016/4/5,64
687,2016/4/6,64
688,2016/4/7,60
689,2016/4/8,65
690,2016/4/9,70
691,2016/4/10,77
692,2016/4/11,77
693,2016/4/12,84
694,2016/4/13,87
695,2016/4/14,85
696,2016/4/15,83
697,2016/4/16,88
698,2016/4/17,89
699,2016/4/18,88
700,2016/4/19,88
701,2016/4/20,89
702,2016/4/21,89
703,2016/4/22,84
704,2016/4/23,87
705,2016/4/24,86
706,2016/4/25,87
707,2016/4/26,85
708,2016/4/27,82
709,2016/4/28,84
710,2016/4/29,84
711,2016/4/30,83
712,2016/5/1,79
713,2016/5/2,84
714,2016/5/3,83
715,2016/5/4,82
716,2016/5/5,82
717,2016/5/6,86
718,2016/5/7,79
719,2016/5/8,83
720,2016/5/9,81
721,2016/5/10,81
722,2016/5/11,80
723,2016/5/12,82
724,2016/5/13,82
725,2016/5/14,76
726,2016/5/15,75
727,2016/5/16,80
728,2016/5/17,75
729,2016/5/18,78
730,2016/5/19,78
731,2016/5/20,78
732,2016/5/21,81
733,2016/5/22,81
734,2016/5/23,82
735,2016/5/24,77
736,2016/5/25,72
737,2016/5/26,72
738,2016/5/27,63
739,2016/5/28,48
740,2016/5/29,40
741,2016/5/30,33
742,2016/5/31,29
743,2016/6/1,22
744,2016/6/2,17
745,2016/6/3,13
746,2016/6/4,13
747,2016/6/5,9
748,2016/6/6,8
749,2016/6/7,48
750,2016/6/8,49
751,2016/6/9,51
752,2016/6/10,53
753,2016/6/11,56
754,2016/6/12,55
755,2016/6/13,57
756,2016/6/14,57
757,2016/6/15,61
758,2016/6/16,63
759,2016/6/17,67
760,2016/6/18,66
761,2016/6/19,69
762,2016/6/20,70
763,2016/6/21,70
764,2016/6/22,70
765,2016/6/23,73
766,2016/6/24,75
767,2016/6/25,73
768,2016/6/26,73
769,2016/6/27,73
770,2016/6/28,73
771,2016/6/29,74
772,2016/6/30,73
773,2016/7/1,69
774,2016/7/2,72
775,2016/7/3,70
776,2016/7/4,73
777,2016/7/5,76
778,2016/7/6,73
779,2016/7/7,74
780,2016/7/8,73
781,2016/7/9,71
782,2016/7/10,69
783,2016/7/11,70
784,2016/7/12,68
785,2016/7/13,69
786,2016/7/14,68
787,2016/7/15,64
788,2016/7/16,64
789,2016/7/17,66
790,2016/7/18,67
791,2016/7/19,63
792,2016/7/20,63
793,2016/7/21,62
794,2016/7/22,60
795,2016/7/23,59
796,2016/7/24,63
797,2016/7/25,61
798,2016/7/26,61
799,2016/7/27,61
800,2016/7/28,59
801,2016/7/29,62
802,2016/7/30,63
803,2016/7/31,62
804,2016/8/1,56
805,2016/8/2,50
806,2016/8/3,47
807,2016/8/4,37
808,2016/8/5,27
809,2016/8/6,22
810,2016/8/7,15
811,2016/8/8,11
812,2016/8/9,7
813,2016/8/10,5
814,2016/8/11,3
815,2016/8/12,1
816,2016/8/13,0
817,2016/8/14,53
818,2016/8/15,55
819,2016/8/16,56
820,2016/8/17,56
821,2016/8/18,61
822,2016/8/19,66
823,2016/8/20,66
824,2016/8/21,66
825,2016/8/22,70
826,2016/8/23,68
827,2016/8/24,72
828,2016/8/25,81
829,2016/8/26,79
830,2016/8/27,83
831,2016/8/28,82
832,2016/8/29,79
833,2016/8/30,83
834,2016/8/31,78
835,2016/9/1,83
836,2016/9/2,82
837,2016/9/3,85
838,2016/9/4,83
839,2016/9/5,82
840,2016/9/6,83
841,2016/9/7,80
842,2016/9/8,80
843,2016/9/9,82
844,2016/9/10,80
845,2016/9/11,78
846,2016/9/12,77
847,2016/9/13,78
848,2016/9/14,84
849,2016/9/15,80
850,2016/9/16,81
851,2016/9/17,80
852,2016/9/18,79
853,2016/9/19,81
854,2016/9/20,81
855,2016/9/21,76
856,2016/9/22,78
857,2016/9/23,81
858,2016/9/24,79
859,2016/9/25,82
860,2016/9/26,80
861,2016/9/27,75
862,2016/9/28,73
863,2016/9/29,72
864,2016/9/30,72
865,2016/10/1,72
866,2016/10/2,75
867,2016/10/3,75
868,2016/10/4,72
869,2016/10/5,75
870,2016/10/6,76
871,2016/10/7,76
872,2016/10/8,77
873,2016/10/9,76
874,2016/10/10,64
875,2016/10/11,57
876,2016/10/12,46
877,2016/10/13,39
878,2016/10/14,31
879,2016/10/15,24
880,2016/10/16,21
881,2016/10/17,18
882,2016/10/18,15
883,2016/10/19,14
884,2016/10/20,14
885,2016/10/21,61
886,2016/10/22,60
887,2016/10/23,60
888,2016/10/24,61
889,2016/10/25,64
890,2016/10/26,67
891,2016/10/27,73
892,2016/10/28,67
893,2016/10/29,78
894,2016/10/30,82
895,2016/10/31,90
896,2016/11/1,93
897,2016/11/2,99
898,2016/11/3,102
899,2016/11/4,100
900,2016/11/5,99
901,2016/11/6,106
902,2016/11/7,105
903,2016/11/8,103
904,2016/11/9,105
905,2016/11/10,104
906,2016/11/11,103
907,2016/11/12,102
908,2016/11/13,102
909,2016/11/14,101
910,2016/11/15,101
911,2016/11/16,97
912,2016/11/17,101
913,2016/11/18,102
914,2016/11/19,106
915,2016/11/20,101
916,2016/11/21,99
917,2016/11/22,103
918,2016/11/23,105
919,2016/11/24,104
920,2016/11/25,105
921,2016/11/26,105
922,2016/11/27,106
923,2016/11/28,104
924,2016/11/29,107
925,2016/11/30,104
926,2016/12/1,102
